id,name,sequence,description,unit,report
iliv,Livestock income,30,"The value of all livestock and poultry sold from the farm operation net of any marketing charges.  All sales of livestock through marketing contracts or payments received from prior years' contracts are also included.  For integrated operations, which do not sell the livestock but pass them on to another phase of the operation, an estimate of the value of the livestock moving through the operation is captured as sales.",Dollars per farm,Farm Business Income Statement
frwcnum,Working capital-to-expense ratio,30,Working capital is calculated by subtracting total current liabilities from total current farm assets. The ratio is calculated as working capital divided by total cash operating expenses.,Percent,Farm Business Financial Ratios
kountn,Farms,30,Number of farms not receiving government payments.,Number,Government Payments
tacres,Total acres operated,30,Total acres operated,"1,000 Acres",Structural Characteristics
igcfi,Gross cash farm income,30,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars per farm,Farm Business Debt Repayment Capacity
igovdpt,Direct payments,30,"Direct payments are payments made to producers based on eligible historical acreage of program crops and historical yields. Between 1996 and 2001, fixed payments were provided as production flexibility contract (PFC) payments before being redesigned in the 2002 Farm Act as direct payments. These direct payments ended as a result of the Agricultural Act of 2014.","1,000 Dollars",Government Payments
kntmlb,Farms,30,Estimated number of farms receiving a marketing loan benefit.,Number,Government Payments
acliv,Assets: Livestock inventory,40,"The market value of livestock and poultry on hand that are owned by the farm operation, excluding animals held for breeding purposes.  Animals that are owned for pleasure are not included.  Livestock or poultry that is owned by the operation, but being raised by another operation under a contract are included.",Dollars per farm,Farm Business Balance Sheet
frdanum,Debt/asset ratio,40,The debt/asset ratio is defined as total liabilities divided by total assets. This ratio indicates the risk associated with the operation's financial structure.,Percent,Farm Business Financial Ratios
acres,Acres operated per farm,40,The number of acres owned by the operation plus the number of acres rented from others minus the number of acres rented to others.,Acres,Structural Characteristics
drinc,Income for debt coverage,40,Calculated as net farm income plus interest on capital debt. Indicates the funds available for debt repayment.,Dollars per farm,Farm Business Debt Repayment Capacity
kntcnsv,Farms,40,Number of farms receiving a conservation program payment.,Number,Government Payments
icrop,Crop sales,40,The amount received from cash sales and marketing or forward contracts for all crops plus the difference between Commodity Credit Corporation crop placements and redemptions.  Payments received for crops produced in previous years or delivered under prior year's marketing contracts are included.,Dollars per farm,Farm Business Income Statement
conspayt,Conservation payments,40,Conservation program payments are payments made to producers that include land-retirement programs where agricultural production cannot occur on land enrolled in the program as well as working-land programs that provide payments for maintaining or adopting resource conservation practices on land in production.,"1,000 Dollars",Government Payments
igovt,Average payments per farm,40,"Government payments received across all programs, all farms.",Dollars,Government Payments
accrop,Assets: Crop inventory,50,"The market value of all crops owned by the operation whether stored on or off the farm. Crops under Commodity Credit Corporation loans are not included; however, crops in storage which have been redeemed from CCC loan are included.",Dollars per farm,Farm Business Balance Sheet
kntoth,Farms,50,Estimated number of farms receiving other types of payments including disaster and emergency payments.,Number,Government Payments
fmhhtot,Percent of U.S. average household income,50,Farm operator household income as a percentage of the U.S. Census Bureau's measure for all U.S. households (http://www.census.gov/cps/).,Percent,Operator Household Income
igovt,Government payments,50,"Gross value of direct government payments received by farm operations during the calendar year. Programs for which payments are received include: direct payments, counter-cyclical payments, loan deficiency payments (LDPs), marketing loan gains, peanut quota buyout program, milk income loss contract payments, disaster payments, conservation reserve program (CRP), wetlands reserve program (WRP), environmental quality incentive program (EQIP), and all other Federal and State programs.",Dollars per farm,Farm Business Income Statement
frroanum,Rate of return on assets,50,"Rate of return on assets is defined as net farm income plus interest expenses minus estimated charges for operator labor and management, divided by total assets.  This ratio reveals the returns received by the farm operator for both debt and equity capital invested.",Percent,Farm Business Financial Ratios
ten1,Farms by tenure: Full owner,50,The share of farms in the report column that own all of the land operated.,Percent of farms,Structural Characteristics
drintp,Principal/interest payments,50,Reported farm business interest payments and estimated principal payments.,Dollars per farm,Farm Business Debt Repayment Capacity
igovtg2,Average payments per farm,50,"Government payments received across all programs, all program participants.",Dollars,Government Payments
mlbt,Marketing loan benefits payments,50,"Marketing loan benefits, including Loan Deficiency Program payments, Marketing Loan Gains, and Certificate Exchange Gains, are payments made to farmers based on market prices for eligible commodities falling below program target prices. Marketing assistance loan programs are based on current production and tend to provide payments when market prices fall below target levels.","1,000 Dollars",Government Payments
ten2,Farms by tenure: Part owner,60,The share of farms in the report column that own some of the land operated.,Percent of farms,Structural Characteristics
igovdp1,Average government payment per participating farm,60,Direct payments received by direct payment program participants.,Dollars,Government Payments
igovtn1,Average payments per farm,60,"Government payments received across all programs, all non-participants.",Dollars,Government Payments
acinpt,Assets: Purchased inputs,60,"The value of unused supplies of purchased inputs such as seed, feed, chemicals, fuels, and fertilizers.",Dollars per farm,Farm Business Balance Sheet
iothfm,Other farm-related income,60,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",Dollars per farm,Farm Business Income Statement
frroenum,Rate of return on equity,60,"Rate of return on equity equals net farm income minus estimated charges for operator labor and management, divided by net worth.  This ratio indicates the relationship between net profits and equity of the farm business.  A negative return on equity is a relative measure of financial stress.  The absolute size of the ratio roughly measures the rate at which a farm business is adding to or consuming from its own capital stock.",Percent,Farm Business Financial Ratios
drdcm,Debt coverage margin,60,Calculated as income for debt coverage minus the amount of funds necessary for debt payment of current obligations.,Dollars per farm,Farm Business Debt Repayment Capacity
otherpayt,Other government program payments,60,"Other government program payments include payments from disaster relief programs and emergency payments. They tend to be temporary, as-needed Government responses to droughts, floods, and other natural disasters. We include various other programs as well, including the milk income support programs, the tobacco transition program, peanut quota buyouts, and/or all other programs not specified in ARMS questionnaires.","1,000 Dollars",Government Payments
acgrow,Assets: Cash invested in growing crops,70,Represents the amount of sunk costs for cover crops or crops not yet harvested.,Dollars per farm,Farm Business Balance Sheet
etot,Total cash expenses,70,"Cash expenses represent the total amount of funds paid out by the farm operation during a calendar year.  Expenses paid by landlords or parties for which a contractual agreement existed during the year are excluded from cash expenses reported for farm operations.  Marketing charges such as commissions, storage, inspection, insurance, drying, check-offs, yardage, and auction are excluded from cash expenses.",Dollars per farm,Farm Business Income Statement
fropmnum,Operating profit margin,70,"The operating profit margin is the ratio of operating profit to gross farm income, reflecting total funds available to finance the farm's ongoing operation. The numerator, operating profit, is equal to net farm income (gross farm income minus all cash and noncash expenses minus depreciation) plus any interest expenses paid minus estimated charges for all operator and household unpaid labor and management. The denominator of the measure, gross farm income, includes gross cash farm income, annual inventory change, and any nonmoney income.",Percent,Farm Business Financial Ratios
drmaxpay,Maximum loan payment,70,Calculated as income for debt coverage divided by the minimum debt coverage ratio.,Dollars per farm,Farm Business Debt Repayment Capacity
igcfi,Average gross cash farm income per farm,70,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
igovccp1,Average government payment per participating farm,70,Countercyclical-type payments received by countercyclical-type program participants.,Dollars,Government Payments
pcepi,PCE price index,70,The Personal Consumption Expenditures price index is maintained by the Bureau of Economic Analysis (BEA) and measures price change from the perspective of consumers.,Percent,Operator Household Income 
ten3,Farms by tenure: Tenant,70,The share of farms in the report column that rent all of the land operated.,Percent of farms,Structural Characteristics
acprpins,Assets: Prepaid insurance,80,Outlays for insurance coverage made in the past that are not completely used up.,Dollars per farm,Farm Business Balance Sheet
drmaxd75,Max feasible debt (7.5%),80,The maximum amount of debt that can be repaid given current income. Calculated at 7.5 percent interest rate amortized over a hypothetical repayment term of 7 years.,Dollars per farm,Farm Business Debt Repayment Capacity
evtot,Variable expenses,80,Expenses incurred in the production process that vary with the quantity and prices of inputs used.,Dollars per farm,Farm Business Income Statement
frdcnum,Term debt coverage ratio,80,This ratio is a variant of the term debt and capital lease coverage ratio recommended by the Farm Financial Standards Council. It measures income available for debt coverage relative to required debt service payments. It is defined as net farm income plus depreciation plus interest on term debt divided by annual scheduled principal and interest payments on term debt.,Number of times,Farm Business Financial Ratios
opoc1,Operator occupation: Farming,80,The share of farm operators in the report column that reported farming as their primary occupation,Percent of farms,Structural Characteristics
igcfig,Average gross cash farm income per farm,80,"For farms participating in government programs, gross cash income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
mlb2,Average government payment per participating farm,80,Marketing loan benefit payments received by marketing loan program participants.,Dollars,Government Payments
fratnum,Asset turnover ratio,90,"The asset turnover ratio, which is calculated as the farm production value divided by total farm assets, measures the income generated per dollar of assets used in production.",Number of times,Farm Business Financial Ratios
acothr,Assets: Other,90,"The value of all stock in Federal Land Banks, Production Credit Associations, Agricultural Credit Associations, and other farm cooperatives; accounts receivable (including Government payments due); hedging account balances; certificates of deposit; checking and savings balances; and any other financial assets of the farm business.",Dollars per farm,Farm Business Balance Sheet
evlvpur,Livestock purchases,90,"The total amount paid for livestock and poultry including commission, yardage, insurance and other associated fees. Breeding livestock treated as a depreciable capital is not included.",Dollars per farm,Farm Business Income Statement
opoc2,Operator occupation: Something else,90,The share of farm operators in the report column that reported something else (other than farming or retired) as their primary occupation,Percent of farms,Structural Characteristics
drmaxd10,Max feasible debt (10%),90,The maximum amount of debt that can be repaid given current income. Calculated at 10 percent interest rate amortized over a hypothetical repayment term of 7 years.,Dollars per farm,Farm Business Debt Repayment Capacity
conspay2,Average government payment per participating farm,90,Conservation payments received by conservation program participants.,Dollars,Government Payments
igcfin,Average gross cash farm income per farm,90,"For farms not participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
antot,Assets: Non-current,100,Non-current assets are comprised of working assets that support the production process and farm real estate.,Dollars per farm,Farm Business Balance Sheet
froenum,Operating expense ratio,100,"The operating expense ratio equals cash operating expenses divided by gross cash income of the farm business. This ratio measures the extent to which the cash income generated by the business is absorbed by the annual costs of production. The lower the ratio, the more effective the farm operation is in generating returns.",Percent,Farm Business Financial Ratios
drcnum75,Repayment capacity use (7.5%),100,The ratio of actual debt to maximum debt repayment capacity measures the extent of use of potential credit repayment ability.  Calculated assuming 7.5 percent interest rate.,Percent,Farm Business Debt Repayment Capacity
incfi,Average net cash farm income per farm,100,"For all farms, net cash farm income less cash expenses.",Dollars,Government Payments
evfeed,Feed,100,"Amount paid by the farm operation for all feed grains, hay, forages, mixed or formula feeds, concentrates, supplements, premixes, salt, minerals, animal byproducts, and all other feed additives and ingredients.",Dollars per farm,Farm Business Income Statement
opoc3,Operator occupation: Retired from farming,100,"For most years, this is the share of principal farm operators reporting that they are retired from farming. In 1996, 1998-2001, and 2012 it is the share of farm of principal farm operators retired in general, not just from farming.",Percent of farms,Structural Characteristics
otherpay1,Average government payment per participating farm,100,Other government program payments received by other payment program participants.,Dollars,Government Payments
aninvest,Assets: Investment in cooperatives,110,Estimated market value of all stock in the Farm Credit System and other farm cooperatives.,Dollars per farm,Farm Business Balance Sheet
evloth,Other livestock-related,110,"Amount paid by the farm operation during the calendar year for livestock leasing; custom feed processing, grinding or mixing of feed; bedding, litter, or straw; pasturing, grazing or custom feeding, veterinarian services or supplies, amount spent for sprays, dips, dusts or any other chemicals, sheep sheering, horse-shoeing, removal of dead animals, branding, artificial insemination and breeding fees, and performance testing.",Dollars per farm,Farm Business Income Statement
oped1,Operator education: Less than high school,110,The share of farm operators in the report column that did not complete high school,Percent of farms,Structural Characteristics
drcnum10,Repayment capacity use (10%),110,The ratio of actual debt to maximum debt repayment capacity measures the extent of use of potential credit repayment ability.  Calculated assuming 10 percent interest rate.,Percent,Farm Business Debt Repayment Capacity
freconum,Economic cost-to-output ratio,110,"Economic costs are calculated as total cash costs plus an allowance for depreciation, along with an imputed return to management and to unpaid labor of the operator and family labor.  The ratio is calculated as total economic costs divided by gross farm income.",Percent,Farm Business Financial Ratios
igcfidp,Average gross cash farm income per participating farm,110,"Gross cash income for farms participating in direct payment programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
incfig,Average net cash farm income per farm,110,"For all farms participating in any government programs, net cash farm income is gross cash income less cash expenses.",Dollars,Government Payments
oped2,Operator education: Completed high school,120,The share of farm operators in the report column that completed high school,Percent of farms,Structural Characteristics
incfin,Average net cash farm income per farm,120,"For farms not participating in any government programs, net cash farm income is gross cash income less cash expenses.",Dollars,Government Payments
anreale,Assets: Land and buildings,120,"Estimated market value of all land and buildings owned by the farm operation.  Any other dwellings, such as those provided to hired labor, are also included if owned by the operation and located on the farm.",Dollars per farm,Farm Business Balance Sheet
evseedp,Seed and plants,120,"Expenses for purchases of seeds, plants, and related expenses such as seed cleaning, inoculation, rooting hormones, bagging, germinating, and delinting",Dollars per farm,Farm Business Income Statement
dtot,Farm liabilities,120,"Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assets are used as collateral, are excluded.",Dollars per farm,Farm Business Debt Repayment Capacity
igcficcp,Average gross cash farm income per participating farm,120,"Gross cash income for farms participating in countercyclical-type programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
evfertc,Fertilizer and chemicals,130,"Amount the farm operation paid for commercial fertilizers, lime and soil conditioners, pesticides, insecticides, herbicides, fungicides, defoliants, nematicides, fumigants, growth regulators, and rodenticides used on crops, pasture, acreage idled under government programs, seeds, crop storage buildings or seed beds.",Dollars per farm,Farm Business Income Statement
oped3,Operator education: Some college,130,The share of farm operators in the report column that completed some college (less than 4 years).,Percent of farms,Structural Characteristics
infi,Net farm income,130,"Net farm income indicates the profit or loss associated with current production. It represents the return (both monetary and nonmonetary) to farm operators for their labor, management and capital, after all production expenses have been paid (that is, gross farm income minus production expenses). It includes net income from farm production as well as net income attributed to the rental value of farm dwellings, the value of commodities consumed on the farm, depreciation, and inventory changes.",Dollars per farm,Farm Business Debt Repayment Capacity
igcfimlb,Average gross cash farm income per participating farm,130,"Gross cash income for farms participating in marketing loan benefit programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
evutil,Utilities,140,"Farm operations' share of expenses for electricity, telephone, and water including charges for irrigation water and electricity.",Dollars per farm,Farm Business Income Statement
oped4,Operator education: Completed 4 years or more of college,140,The share of farm operators in the report column that completed 4 years or more of college.,Percent of farms,Structural Characteristics
igcficnsv,Average gross cash farm income per participating farm,140,"Gross cash income for farms participating in conservation programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
anequip,Assets: Farm equipment,140,"Estimated market value of the farm share of trucks, cars, tractors, machinery, tools, equipment and implements owned by the operation.",Dollars per farm,Farm Business Balance Sheet
anbreed,Assets: Breeding animals,150,Estimated market value of all livestock animals held for breeding purposes.,Dollars per farm,Farm Business Balance Sheet
ophr1,Operator hours worked annually on farm: Less than 500,150,The share of farm operators in the report column that worked less than 500 hours on the farm,Percent of farms,Structural Characteristics
igcfioth,Average gross cash farm income per participating farm,150,"Gross cash income for farms participating in other types of programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars,Government Payments
evlabor,Labor,150,"Expenses for contract and hired labor engaged in ""agricultural work"" during the calendar year.  Total cash wages include bonuses for all hired workers(including paid family members) and employees' share of social security taxes.  Costs associated with fringe benefits such as insurance, pensions, workers compensation, and unemployment compensation are also included in labor expense.  Wages paid to operators that are not hired managers are excluded.",Dollars per farm,Farm Business Income Statement
incfidp,Average net cash farm income per participating farm,160,Net cash farm income for farms participating direct payment programs. Net cash farm income is gross cash farm income less cash expenses.,Dollars,Government Payments
dtot,Farm liabilities,160,"Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assets are used as collateral, are excluded.",Dollars per farm,Farm Business Balance Sheet
evfuelo,Fuels and oils,160,"Farm share of the operations' purchases of diesel, gasoline, liquid petroleum, natural gas, other fuels (kerosene, coal, wood), and motor oils and fluids. Includes fuels used for heating farm buildings and offices, drying or curing crops, and all machinery and equipment (including irrigation pumps).",Dollars per farm,Farm Business Income Statement
ophr2,Operator hours worked annually on farm: 500 to 999,160,The share of farm operators in the report column that worked between 500 and 999 hours on the farm,Percent of farms,Structural Characteristics
lctot,Liabilities: Current,170,Current liabilities are the debts a farm business owes which must be paid within one year.,Dollars per farm,Farm Business Balance Sheet
evmainr,Repairs and maintenance,170,"Amount paid by the operation for repairs and maintenance of motor vehicles, machinery and equipment, irrigation and frost protection equipment, farm buildings, the operator's dwelling, and any other labor dwellings, fencing, soil conservation structures, drainage structures, and any other farm or ranch structures (corrals, feedlots, feeding floors).",Dollars per farm,Farm Business Income Statement
ophr3,"Operator hours worked annually on farm: 1,000 to 1,999",170,"The share of farm operators in the report column that worked between 1000 and 1,999 hours on the farm",Percent of farms,Structural Characteristics
incficcp,Average net cash farm income per participating farm,170,Net cash income for farms participating countercyclical-type programs. Net cash farm income is gross cash farm income less cash expenses.,Dollars,Government Payments
evcwork,Machine-hire and custom work,180,"Amount spent by the operation for custom hauling and other custom work such as land tillage, planting or seeding, harvesting, and soil testing.  Custom work is defined as work preformed by machines and labor hired as a unit.",Dollars per farm,Farm Business Income Statement
dshort,Liabilities: Notes payable within one year,180,The amount of loans outstanding on December 31 that are due for full repayment within one year.,Dollars per farm,Farm Business Balance Sheet
ophr4,"Operator hours worked annually on farm: 2,000 or more",180,"The share of farm operators in the report column that worked 2,000 hours or more on the farm.",Percent of farms,Structural Characteristics
incfimlb,Average net cash farm income per participating farm,180,Net cash farm income for farms participating marketing loan benefit programs. Net cash farm income is gross cash farm income less cash expenses.,Dollars,Government Payments
lcterm,Liabilities: Current portion of term debt,190,The current portion of long-term debt is the amount of principal that will be due within one year of the date of the balance sheet.,Dollars per farm,Farm Business Balance Sheet
evoth,Other variable expenses,190,"Includes supplies, motor vehicle registration fees, transportation and storage, and all other general business expenses (for example, fees paid to accountants or attorneys, registration of purebred animals, travel expenses, postage, and magazine subscriptions).",Dollars per farm,Farm Business Income Statement
incficnsv,Average net cash farm income per participating farm,190,Net cash income for farms participating conservation programs. Net cash farm income is gross cash farm income less cash expenses.,Dollars,Government Payments
lcint,Liabilities: Accrued interest,200,Estimated as the amount of interest that has accumulated since the previous interest payment.,Dollars per farm,Farm Business Balance Sheet
eftot,Fixed expenses,200,"Represents costs incurred by the farm operation during the calendar year, even when there is no production.",Dollars per farm,Farm Business Income Statement
incfioth,Average net cash farm income per participating farm,200,Net cash farm income for farms participating conservation programs. Net cash farm income is gross cash farm income less cash expenses.,Dollars,Government Payments
lcpay,Liabilities: Accounts payable,210,"The obligation that the farm business owes to its creditors for buying goods or services.   It is the unpaid invoices, bills, or statements for goods or services rendered by outside contractors, vendors or suppliers.",Dollars per farm,Farm Business Balance Sheet
eftaxes,Real estate and property taxes,210,"Expenses for taxes on farm land, buildings, capital improvements, machines, livestock, and other property.  Includes all taxes paid during the calendar year even though they may have been levied in another year.",Dollars per farm,Farm Business Income Statement
lntot,Liabilities: Noncurrent,220,Money owed by the farm business for a period one year or more in the future.,Dollars per farm,Farm Business Balance Sheet
efint,Interest,220,"Amount paid by the farm operation for interest on farm business loans and mortgages, land contracts, and other farm loans secured by real estate, finance charges for operating loans, machinery and equipment loans, or any other interest on non-real estate loans.",Dollars per farm,Farm Business Income Statement
efins,Insurance premiums,230,"Amount spent by the farm operation for Federal Crop Insurance, and the farm share of motor vehicle, liability, and blanket policies which provide more than one year's coverage.",Dollars per farm,Farm Business Income Statement
lnnreale,Liabilities: Non-real estate,230,The amount of debt owed by the farm business for non-real estate loans.,Dollars per farm,Farm Business Balance Sheet
lnreale,Liabilities: Real estate,240,The amount of debt owed by the farm business for real estate loans.,Dollars per farm,Farm Business Balance Sheet
efrent,Rent and lease payments,240,"Expenses for land rental (including Public Industrial Grazing Association land), all vehicles, tractors, farm machinery, equipment, and structures leased.",Dollars per farm,Farm Business Income Statement
incfi,Net cash farm income,250,"This measure indicates the amount of net cash earnings from all business sources that a farm generates during the year.  These funds can be used to repay principal on indebtedness, purchase new machinery or equipment, expand the farm business, or pay for family consumption or other obligations.",Dollars per farm,Farm Business Income Statement
netw,Farm equity,250,Total farm business assets minus farm business liabilities on December 31.,Dollars per farm,Farm Business Balance Sheet
inmon,Nonmoney income,260,"An estimated value of items produced and consumed on the farm, and the imputed rental value of farm dwellings.",Dollars per farm,Farm Business Income Statement
ivalinv,Value of inventory change,270,"The change in the market value of all crops, livestock, or purchased inputs from January 1 of the calendar to December 31.",Dollars per farm,Farm Business Income Statement
endepr,Depreciation,280,An allocation of the portion of the original cost of a capital asset to each of the estimated years in which the asset will be used.  The type of depreciation reported on the survey typically resembles the figure reported on tax returns.,Dollars per farm,Farm Business Income Statement
enben,"Labor, non-cash benefits",290,"Includes an estimate of the value of housing or lodging provided to workers, meals, fuel, vehicles, utilities, or payment in kind. An estimate of the value of products produced and consumed on the farm is provided by the survey respondent. The imputed rental value of farm dwellings is calculated for dwellings located on the farm and is based on rent-to-value ratios for different value ranges of the dwelling.",Dollars per farm,Farm Business Income Statement
breedingadj,Adjusted breeding livestock income,300,"The amount of unrecovered investment in breeding livestock upon sale, reflecting the difference between gross proceeds from the sale and the recognized gain after accounting for investment costs.",Dollars per farm,Farm Business Income Statement
infi,Net farm income,310,"Net farm income indicates the profit or loss associated with current production. It represents the return (both monetary and nonmonetary) to farm operators for their labor, management and capital after all production expenses have been paid (that is, gross farm income minus production expenses). It includes net income from farm production as well as net income attributed to the rental value of farm dwellings, the value of commodities consumed on the farm, depreciation, and inventory changes.",Dollars per farm,Farm Business Income Statement
