id	description
drcnum10	The ratio of actual debt to maximum debt repayment capacity measures the extent of use of potential credit repayment ability.  Calculated assuming 10 percent interest rate.
freconum	Economic costs are calculated as total cash costs plus an allowance for depreciation, along with an imputed return to management and to unpaid labor of the operator and family labor.  The ratio is calculated as total economic costs divided by gross farm income.
igcfidp	Gross cash income for farms participating in direct payment programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
incfig	For all farms participating in any government programs, net cash farm income is gross cash income less cash expenses.
oped2	The share of farm operators in the report column that completed high school
incfin	For farms not participating in any government programs, net cash farm income is gross cash income less cash expenses.
anreale	Estimated market value of all land and buildings owned by the farm operation.  Any other dwellings, such as those provided to hired labor, are also included if owned by the operation and located on the farm.
evseedp	Expenses for purchases of seeds, plants, and related expenses such as seed cleaning, inoculation, rooting hormones, bagging, germinating, and delinting
dtot	Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assets are used as collateral, are excluded.
igcficcp	Gross cash income for farms participating in countercyclical-type programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
evfertc	Amount the farm operation paid for commercial fertilizers, lime and soil conditioners, pesticides, insecticides, herbicides, fungicides, defoliants, nematicides, fumigants, growth regulators, and rodenticides used on crops, pasture, acreage idled under government programs, seeds, crop storage buildings or seed beds.
oped3	The share of farm operators in the report column that completed some college (less than 4 years).
infi	Net farm income indicates the profit or loss associated with current production. It represents the return (both monetary and nonmonetary) to farm operators for their labor, management and capital, after all production expenses have been paid (that is, gross farm income minus production expenses). It includes net income from farm production as well as net income attributed to the rental value of farm dwellings, the value of commodities consumed on the farm, depreciation, and inventory changes.
igcfimlb	Gross cash income for farms participating in marketing loan benefit programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
evutil	Farm operations' share of expenses for electricity, telephone, and water including charges for irrigation water and electricity.
oped4	The share of farm operators in the report column that completed 4 years or more of college.
igcficnsv	Gross cash income for farms participating in conservation programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
anequip	Estimated market value of the farm share of trucks, cars, tractors, machinery, tools, equipment and implements owned by the operation.
anbreed	Estimated market value of all livestock animals held for breeding purposes.
ophr1	The share of farm operators in the report column that worked less than 500 hours on the farm
igcfioth	Gross cash income for farms participating in other types of programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
evlabor	"Expenses for contract and hired labor engaged in ""agricultural work"" during the calendar year.  Total cash wages include bonuses for all hired workers(including paid family members) and employees' share of social security taxes.  Costs associated with fringe benefits such as insurance, pensions, workers compensation, and unemployment compensation are also included in labor expense.  Wages paid to operators that are not hired managers are excluded."
incfidp	Net cash farm income for farms participating direct payment programs. Net cash farm income is gross cash farm income less cash expenses.
dtot	Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assets are used as collateral, are excluded.
evfuelo	Farm share of the operations' purchases of diesel, gasoline, liquid petroleum, natural gas, other fuels (kerosene, coal, wood), and motor oils and fluids. Includes fuels used for heating farm buildings and offices, drying or curing crops, and all machinery and equipment (including irrigation pumps).
ophr2	The share of farm operators in the report column that worked between 500 and 999 hours on the farm
lctot	Current liabilities are the debts a farm business owes which must be paid within one year.
evmainr	Amount paid by the operation for repairs and maintenance of motor vehicles, machinery and equipment, irrigation and frost protection equipment, farm buildings, the operator's dwelling, and any other labor dwellings, fencing, soil conservation structures, drainage structures, and any other farm or ranch structures (corrals, feedlots, feeding floors).
ophr3	The share of farm operators in the report column that worked between 1000 and 1,999 hours on the farm
incficcp	Net cash income for farms participating countercyclical-type programs. Net cash farm income is gross cash farm income less cash expenses.
evcwork	Amount spent by the operation for custom hauling and other custom work such as land tillage, planting or seeding, harvesting, and soil testing.  Custom work is defined as work preformed by machines and labor hired as a unit.
dshort	The amount of loans outstanding on December 31 that are due for full repayment within one year.
ophr4	The share of farm operators in the report column that worked 2,000 hours or more on the farm.
incfimlb	Net cash farm income for farms participating marketing loan benefit programs. Net cash farm income is gross cash farm income less cash expenses.
lcterm	The current portion of long-term debt is the amount of principal that will be due within one year of the date of the balance sheet.
evoth	Includes supplies, motor vehicle registration fees, transportation and storage, and all other general business expenses (for example, fees paid to accountants or attorneys, registration of purebred animals, travel expenses, postage, and magazine subscriptions).
incficnsv	Net cash income for farms participating conservation programs. Net cash farm income is gross cash farm income less cash expenses.
lcint	Estimated as the amount of interest that has accumulated since the previous interest payment.
eftot	Represents costs incurred by the farm operation during the calendar year, even when there is no production.
incfioth	Net cash farm income for farms participating conservation programs. Net cash farm income is gross cash farm income less cash expenses.
lcpay	The obligation that the farm business owes to its creditors for buying goods or services.   It is the unpaid invoices, bills, or statements for goods or services rendered by outside contractors, vendors or suppliers.
eftaxes	Expenses for taxes on farm land, buildings, capital improvements, machines, livestock, and other property.  Includes all taxes paid during the calendar year even though they may have been levied in another year.
lntot	Money owed by the farm business for a period one year or more in the future.
efint	Amount paid by the farm operation for interest on farm business loans and mortgages, land contracts, and other farm loans secured by real estate, finance charges for operating loans, machinery and equipment loans, or any other interest on non-real estate loans.
efins	Amount spent by the farm operation for Federal Crop Insurance, and the farm share of motor vehicle, liability, and blanket policies which provide more than one year's coverage.
lnnreale	The amount of debt owed by the farm business for non-real estate loans.
lnreale	The amount of debt owed by the farm business for real estate loans.
efrent	Expenses for land rental (including Public Industrial Grazing Association land), all vehicles, tractors, farm machinery, equipment, and structures leased.
incfi	This measure indicates the amount of net cash earnings from all business sources that a farm generates during the year.  These funds can be used to repay principal on indebtedness, purchase new machinery or equipment, expand the farm business, or pay for family consumption or other obligations.
netw	Total farm business assets minus farm business liabilities on December 31.
inmon	An estimated value of items produced and consumed on the farm, and the imputed rental value of farm dwellings.
ivalinv	The change in the market value of all crops, livestock, or purchased inputs from January 1 of the calendar to December 31.
endepr	An allocation of the portion of the original cost of a capital asset to each of the estimated years in which the asset will be used.  The type of depreciation reported on the survey typically resembles the figure reported on tax returns.
enben	Includes an estimate of the value of housing or lodging provided to workers, meals, fuel, vehicles, utilities, or payment in kind. An estimate of the value of products produced and consumed on the farm is provided by the survey respondent. The imputed rental value of farm dwellings is calculated for dwellings located on the farm and is based on rent-to-value ratios for different value ranges of the dwelling.
breedingadj	The amount of unrecovered investment in breeding livestock upon sale, reflecting the difference between gross proceeds from the sale and the recognized gain after accounting for investment costs.
infi	Net farm income indicates the profit or loss associated with current production. It represents the return (both monetary and nonmonetary) to farm operators for their labor, management and capital after all production expenses have been paid (that is, gross farm income minus production expenses). It includes net income from farm production as well as net income attributed to the rental value of farm dwellings, the value of commodities consumed on the farm, depreciation, and inventory changes.
