Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Off-farm occupation farms (2011 to present),"Farms where the operator's primary occupation is something other than farming and with gross cash farm income less than $350,000",2758,Dollars per farm,MEAN,70,5.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/moderate-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income from $150,000 to $349,999",32298,Dollars per farm,MEAN,21509,4.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,West region,"Includes Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming",23920,Dollars per farm,MEAN,50,4.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Midwest region,"Includes Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, and Wisconsin",25112,Dollars per farm,MEAN,1200,1.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,South region,"Includes Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, and South Carolina",15967,Dollars per farm,MEAN,660,5.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Atlantic region,"Includes Connecticut, Delaware, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",8374,Dollars per farm,MEAN,275,2.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Plains region,"Includes Kansas, Nebraska, North Dakota, Oklahoma, South Dakota, and Texas",19221,Dollars per farm,MEAN,200,11.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,34 years or younger,Principal operator's age is 34 years or younger,22517,Dollars per farm,MEAN,1300,13.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,65 years or older,Principal operator's age is 65 or older,12017,Dollars per farm,MEAN,250,11.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,35 to 44 years old,Principal operator's age is 35 to 44,28493,Dollars per farm,MEAN,1200,31.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,55 to 64 years old,Principal operator's age is 55 to 64,22057,Dollars per farm,MEAN,350,8.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,45 to 54 years old,Principal operator's age is 45 to 54,23134,Dollars per farm,MEAN,500,13.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Poultry,Farms where poultry is the majority of the value of production,2396,Dollars per farm,MEAN,0,20.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",116620,Dollars per farm,MEAN,48000,9.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Soybean,Farms where soybeans is the majority of the value of production,38980,Dollars per farm,MEAN,12312,5.7
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Corn,Farms where corn is the majority of the value of production,82353,Dollars per farm,MEAN,38000,10.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,General Cash Grains,Farms where sorghum and rice are the majority of the value of production,105551,Dollars per farm,MEAN,51968,11.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Wheat,Farms where wheat is the majority of the value of production,57811,Dollars per farm,MEAN,26231,35.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Other Field Crops,Farms where other field crops is the majority of the value of production,7114,Dollars per farm,MEAN,0,17.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",38031,Dollars per farm,MEAN,1100,9.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Cattle,Farms where cattle is the majority of the value of production,4020,Dollars per farm,MEAN,173,8.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Hogs,Farms where hogs is the majority of the value of production,23137,Dollars per farm,MEAN,100,20.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Dairy,Farms where dairy is the majority of the value of production,25990,Dollars per farm,MEAN,10000,7.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,All other livestock,Farms where all other livestock is the majority of the value of production,1768,Dollars per farm,MEAN,0,48.4
