Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,55 to 64 years old,Principal operator's age is 55 to 64,21281,Dollars per farm,MEAN,400,4.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,65 years or older,Principal operator's age is 65 or older,11700,Dollars per farm,MEAN,400,4.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Other Field Crops,Farms where other field crops is the majority of the value of production,6685,Dollars per farm,MEAN,0,11.2
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Cattle,Farms where cattle is the majority of the value of production,3559,Dollars per farm,MEAN,350,5.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",117029,Dollars per farm,MEAN,47000,14.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Dairy,Farms where dairy is the majority of the value of production,25130,Dollars per farm,MEAN,5842,12.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Poultry,Farms where poultry is the majority of the value of production,3774,Dollars per farm,MEAN,0,39.2
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",49058,Dollars per farm,MEAN,2000,12.4
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Soybean,Farms where soybeans is the majority of the value of production,42294,Dollars per farm,MEAN,14064,7.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Corn,Farms where corn is the majority of the value of production,74631,Dollars per farm,MEAN,40000,4.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Wheat,Farms where wheat is the majority of the value of production,69374,Dollars per farm,MEAN,20000,18.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,General Cash Grains,Farms where sorghum and rice are the majority of the value of production,91472,Dollars per farm,MEAN,35000,7.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Hogs,Farms where hogs is the majority of the value of production,26847,Dollars per farm,MEAN,1050,16.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,All other livestock,Farms where all other livestock is the majority of the value of production,820,Dollars per farm,MEAN,0,17.1
