Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,General Cash Grains,Farms where sorghum and rice are the majority of the value of production,20701,Dollars per farm,KOUNT,,26.1
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Corn,Farms where corn is the majority of the value of production,16273,Dollars per farm,KOUNT,,7.3
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",14570,Dollars per farm,KOUNT,,16.0
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Other Field Crops,Farms where other field crops is the majority of the value of production,3058,Dollars per farm,KOUNT,,15.1
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Dairy,Farms where dairy is the majority of the value of production,5749,Dollars per farm,KOUNT,,22.2
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",948,Dollars per farm,KOUNT,,30.6
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Poultry,Farms where poultry is the majority of the value of production,665,Dollars per farm,KOUNT,,22.4
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Cattle,Farms where cattle is the majority of the value of production,2270,Dollars per farm,KOUNT,,22.8
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Soybean,Farms where soybeans is the majority of the value of production,6065,Dollars per farm,KOUNT,,12.1
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Wheat,Farms where wheat is the majority of the value of production,16975,Dollars per farm,KOUNT,,33.8
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,All other livestock,Farms where all other livestock is the majority of the value of production,481,Dollars per farm,KOUNT,,21.9
2015,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Hogs,Farms where hogs is the majority of the value of production,6455,Dollars per farm,KOUNT,,19.6
