Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,South region,"Includes Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, and South Carolina",5097,Dollars per farm,MEAN,0,6.3
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,West region,"Includes Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming",3859,Dollars per farm,MEAN,0,4.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Plains region,"Includes Kansas, Nebraska, North Dakota, Oklahoma, South Dakota, and Texas",5818,Dollars per farm,MEAN,0,3.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,34 years or younger,Principal operator's age is 34 years or younger,4661,Dollars per farm,MEAN,0,17.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,65 years or older,Principal operator's age is 65 or older,3407,Dollars per farm,MEAN,0,4.2
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,45 to 54 years old,Principal operator's age is 45 to 54,4817,Dollars per farm,MEAN,0,8.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,35 to 44 years old,Principal operator's age is 35 to 44,5814,Dollars per farm,MEAN,0,8.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,55 to 64 years old,Principal operator's age is 55 to 64,4461,Dollars per farm,MEAN,0,4.3
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,All other livestock,Farms where all other livestock is the majority of the value of production,722,Dollars per farm,MEAN,0,17.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Dairy,Farms where dairy is the majority of the value of production,4549,Dollars per farm,MEAN,0,11.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Soybean,Farms where soybeans is the majority of the value of production,10661,Dollars per farm,MEAN,1533,5.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Wheat,Farms where wheat is the majority of the value of production,29767,Dollars per farm,MEAN,10000,10.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,General Cash Grains,Farms where sorghum and rice are the majority of the value of production,23966,Dollars per farm,MEAN,7000,6.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Corn,Farms where corn is the majority of the value of production,12827,Dollars per farm,MEAN,2600,5.3
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",31146,Dollars per farm,MEAN,4600,9.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Other Field Crops,Farms where other field crops is the majority of the value of production,3991,Dollars per farm,MEAN,0,6.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",1387,Dollars per farm,MEAN,0,25.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Cattle,Farms where cattle is the majority of the value of production,1739,Dollars per farm,MEAN,0,6.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Hogs,Farms where hogs is the majority of the value of production,5024,Dollars per farm,MEAN,0,39.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Poultry,Farms where poultry is the majority of the value of production,2065,Dollars per farm,MEAN,0,31.8
